10:15:46 | INFO | CloseDriverCommand:32                    | Closed webdriver 1 in 170 ms
10:15:46 | INFO | WebDriverThreadLocalContainer:138        | No webdriver is bound to current thread: 1 - let's create a new webdriver
10:15:46 | INFO | FileHelper:56                            | Creating folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639746386_10060_1
10:15:47 | INFO | HttpClientTimeouts:81                    | Changed connectTimeout from 120000 to 60000
10:15:47 | INFO | HttpClientTimeouts:82                    | Changed readTimeout from 10800000 to 120000
10:15:47 | INFO | BrowserResizer:28                        | Set browser size to 1920x1080
10:15:47 | INFO | WebDriverFactory:138                     | BrowserName=chrome Version=113.0.5672.129 Platform=WINDOWS
10:15:47 | INFO | WebDriverFactory:79                      | Selenide v. 5.25.1
10:15:47 | INFO | WebDriverFactory:132                     | Selenium WebDriver v. 3.141.59 build time: 2018-11-14T08:17:03
10:15:47 | INFO | CreateDriverCommand:71                   | Create webdriver in current thread 1: ChromeDriver -> ChromeDriver: chrome on WINDOWS (afb0175c61eafdab881af94bb5fb60c7)
10:15:52 | INFO | MoviesAbbys:22                           | Get title ', element -> By.xpath: //h1[@class='title']
10:15:52 | INFO | CloseDriverCommand:30                    | Close webdriver: 1 -> ChromeDriver: chrome on WINDOWS (afb0175c61eafdab881af94bb5fb60c7)...
10:15:52 | INFO | CloseDriverCommand:32                    | Closed webdriver 1 in 196 ms
10:15:52 | INFO | WebDriverThreadLocalContainer:138        | No webdriver is bound to current thread: 1 - let's create a new webdriver
10:15:52 | INFO | FileHelper:56                            | Creating folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639752868_10060_1
10:15:53 | INFO | HttpClientTimeouts:81                    | Changed connectTimeout from 120000 to 60000
10:15:53 | INFO | HttpClientTimeouts:82                    | Changed readTimeout from 10800000 to 120000
10:15:53 | INFO | BrowserResizer:28                        | Set browser size to 1920x1080
10:15:53 | INFO | WebDriverFactory:138                     | BrowserName=chrome Version=113.0.5672.129 Platform=WINDOWS
10:15:53 | INFO | WebDriverFactory:79                      | Selenide v. 5.25.1
10:15:53 | INFO | WebDriverFactory:132                     | Selenium WebDriver v. 3.141.59 build time: 2018-11-14T08:17:03
10:15:53 | INFO | CreateDriverCommand:71                   | Create webdriver in current thread 1: ChromeDriver -> ChromeDriver: chrome on WINDOWS (b0cc9f9ba3143e900732ea86211bb2eb)
10:15:58 | INFO | TVAbbys:22                               | Get title ', element -> By.xpath: //h1[@class='title']
10:15:59 | INFO | CloseDriverCommand:30                    | Close webdriver: 1 -> ChromeDriver: chrome on WINDOWS (b0cc9f9ba3143e900732ea86211bb2eb)...
10:15:59 | INFO | CloseDriverCommand:32                    | Closed webdriver 1 in 396 ms
10:15:59 | INFO | WebDriverThreadLocalContainer:138        | No webdriver is bound to current thread: 1 - let's create a new webdriver
10:15:59 | INFO | FileHelper:56                            | Creating folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639759675_10060_1
10:16:00 | INFO | HttpClientTimeouts:81                    | Changed connectTimeout from 120000 to 60000
10:16:00 | INFO | HttpClientTimeouts:82                    | Changed readTimeout from 10800000 to 120000
10:16:00 | INFO | BrowserResizer:28                        | Set browser size to 1920x1080
10:16:00 | INFO | WebDriverFactory:138                     | BrowserName=chrome Version=113.0.5672.129 Platform=WINDOWS
10:16:00 | INFO | WebDriverFactory:79                      | Selenide v. 5.25.1
